,Laptop Models,Operating System,Screen Size,Screen Resolution,Touchscreen,Processor,Graphics Processor,RAM,Hard Drive Capacity,Weight,Webcam,Fingerprint Scanner,Price
0,Lenovo 3 15ITL05 (81X800N2IN) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.70 Kg,Yes,,"Rs. 35,990"
1,realme Book Slim (Intel Core i3 (11th Gen) 8GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),2160 x 1440 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,256GB,1.38 Kg,Yes,Yes,"Rs. 36,999"
2,Asus FX506LHB-HN355WS (Intel Core i5 (10th Gen) 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),NVIDIA GeForce GTX 1650,8GB,512GB,2.3 Kg,Yes,No,"Rs. 53,990"
3,Lenovo 3 15ITL6 (82H801L7IN) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.65 Kg,Yes,No,"Rs. 36,500"
4,Apple M1 MGND3HN/A ( 8GB 256GB SSD macOS Big Sur) Laptop,macOS Big Sur,13.3 inch(33.78 cm),2560 x 1600 pixels,No,Apple M1,Apple M1,8GB,256GB,1.29 Kg,Yes,No,"Rs. 81,990"
5,Asus X515JA-BQ322WS (Intel Core i3 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,512GB,1.80 Kg,Yes,Yes,"Rs. 35,500"
6,Apple M1 MGN63HN/A ( 8GB 256GB SSD macOS Big Sur) Laptop,macOS Big Sur,13.3 inch(33.78 cm),2560 x 1600 pixels,No,Apple M1,,8GB,256GB,1.29 Kg,Yes,No,"Rs. 81,990"
7,Apple M1 MGN93HN/A ( 8GB 256GB SSD macOS Big Sur) Laptop,macOS Big Sur,13.3 inch(33.78 cm),2560 x 1600 pixels,No,Apple M1,,8GB,256GB,1.29 Kg,Yes,No,"Rs. 81,990"
8,HP 15-ec2004AX (3E3R5PA) ( 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,NVIDIA GeForce GTX 1650,8GB,512GB,1.98 Kg,Yes,No,"Rs. 58,744"
9,Asus X515JA-EJ362WS (Intel Core i3 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,512GB,1.80 Kg,Yes,No,"Rs. 32,990"
10,Acer A715-75G-50TA (NH.Q97SI.001) (Intel Core i5 (10th Gen) 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),NVIDIA GeForce GTX 1650,8GB,512GB,2.15 Kg,Yes,No,"Rs. 49,990"
11,Asus X515EA-EJ328WS (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel Integrated,8GB,512GB,1.80 Kg,Yes,,"Rs. 35,990"
12,HP 11a-na0010nr (1F6F4UA) ( 4GB 32GB SSD ) Laptop,Google Chrome,11.6 inch(29.46 cm),1366 x 768 pixels,No,MediaTek Octa-core,MediaTek Integrated Graphics,4GB,32GB,1.07 Kg,Yes,No,"Rs. 31,077"
13,HP 15-ec0101AX (167W1PA) (Ryzen 5 8GB 1TB HDD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,NVIDIA Geforce GTX 1650,8GB,1TB,2.04 Kg,Yes,No,"Rs. 51,500"
14,HP 15s-gr0012AU (35K35PA) (Ryzen 3 8GB 1TB256GB SSD HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon Vega 6,8GB,1TB,1.82 Kg,Yes,No,"Rs. 37,290"
15,Lenovo 320-15IKB (80XL0006US) (Intel Core i5 (7th Gen) 8GB 1TB HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Core i5 (7th Gen),Intel HD 620,8GB,1TB,2.19 Kg,Yes,No,"Rs. 49,000"
16,HP 15s-fq2629TU (546K7PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.69 Kg,Yes,No,"Rs. 42,990"
17,Lenovo Gaming 3 15IHU6 (82K101LHIN) ( 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce GTX 1650,16GB,512GB,2.25 Kg,Yes,No,"Rs. 62,990"
18,Lenovo Gaming 3 15IHU6 (82K101LGIN) ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce GTX 1650,8GB,512GB,2.25 Kg,Yes,No,"Rs. 48,990"
19,Asus FX506LHB-HN358W ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),NVIDIA GeForce GTX 1650,8GB,512GB,2.30 Kg,Yes,,"Rs. 58,000"
20,Asus VivoBook 15 X515EA-EJ322WS (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.80 Kg,Yes,Yes,"Rs. 34,990"
21,Asus X543MA-GQ1015T (Intel Celeron Dual Core 4GB 1TB HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD 600,4GB,1TB,1.9 Kg,Yes,No,"Rs. 23,200"
22,HP 14s-dy2507TU (6N024PA) (Intel Core i3 (11th Gen) 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,256GB,1.41 Kg,Yes,,"Rs. 34,490"
23,Asus X515JA-EJ592WS (Intel Core i5 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),Intel UHD,8GB,512GB,1.80 Kg,Yes,Yes,"Rs. 46,850"
24,HP 14s-dy2508TU (6X360PA) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.41 Kg,Yes,,"Rs. 37,890"
25,HP 15s-eq2143au (50M62PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,8GB,512GB,1.69 Kg,Yes,Yes,"Rs. 35,890"
26,Acer A715-42G (UN.QAYSI.006) ( 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,NVIDIA GeForce GTX 1650,16GB,512GB,2.15 Kg,Yes,No,"Rs. 51,990"
27,Xiaomi RedmiBook 15 Pro (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.8 Kg,Yes,No,"Rs. 39,990"
28,Acer A715-42G (NH.QAYSI.004) ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,NVIDIA GeForce GTX 1650,8GB,512GB,2.15 Kg,Yes,No,"Rs. 49,990"
29,Asus FX506LH-HN258T (Intel Core i5 (10th Gen) 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),NVIDIA GeForce GTX 1650,8GB,512GB,2.3 Kg,Yes,No,"Rs. 59,990"
30,Acer A715-42G (NH.QAYSI.001) (Ryzen 5 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,NVIDIA GeForce GTX 1650,8GB,512GB,2.15 Kg,Yes,No,"Rs. 50,000"
31,HP 11a-na0004MU (2E4M8PA) ( 4GB ) Laptop,Google Chrome,11.6 inch(29.46 cm),1366 x 768 pixels,Yes,MediaTek Octa-core,MediaTek Integrated Graphics,4GB,,1.07 Kg,Yes,No,"Rs. 19,990"
32,Asus X412FA-EK361T (Intel Core i3 (10th Gen) 4GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,4GB,256GB,1.50 Kg,Yes,Yes,"Rs. 34,990"
33,HP 14s-dq2649TU (7G6H0PA) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.46 Kg,Yes,,"Rs. 38,490"
34,Lenovo 130 (81H7001WIN) (Intel Core i3 (7th Gen) 4GB 1TB HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (7th Gen),Intel HD 620,4GB,1TB,2.1 Kg,Yes,No,"Rs. 36,370"
35,Infinix INBook X1 Slim XL21 (Intel Core i3 (10th Gen) 8GB 256GB SSD 128MB Graphics Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,256GB,1.24 Kg,Yes,No,"Rs. 35,990"
36,HP 15s-dy3001TU (360L7PA) (Intel Pentium Dual Core 8GB 1TB HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Pentium Dual-Core,Intel UHD,8GB,1TB,1.75 Kg,Yes,No,"Rs. 39,600"
37,Avita NS14A6INV561 (Ryzen 5 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon Vega 8,8GB,512GB,1.34 Kg,Yes,No,"Rs. 24,490"
38,HP 14s-fq1092AU (50M60PA) (Ryzen 5 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,8GB,512GB,1.46 Kg,Yes,No,"Rs. 48,490"
39,HP 11A-NA0002MU (2E4N0PA) ( 4GB 64GB SSD ) Laptop,Google Chrome,11.6 inch(29.46 cm),1366 x 768 pixels,No,MediaTek Octa-core,MediaTek Integrated Graphics,4GB,64GB,1.07 Kg,Yes,No,"Rs. 22,490"
40,HP 14s-fq1089au (50M59PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,8GB,512GB,1.46 Kg,Yes,No,"Rs. 36,999"
41,Lenovo Slim 3 (82KU017KIN) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,8GB,512GB,1.65 Kg,Yes,No,"Rs. 43,990"
42,HP 14s-dy2506TU (546K2PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.46 Kg,Yes,No,"Rs. 45,890"
43,Infinix X1 Neo XL22 ( 4GB 128GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Celeron Quad-Core,Intel UHD,4GB,128GB,1.24 Kg,Yes,No,"Rs. 24,990"
44,HP 15s-gy0501AU (4R8B8PA) (Ryzen 3 8GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon,8GB,256GB,1.69 Kg,Yes,No,"Rs. 39,800"
45,Infinix Y1 Plus Neo XL30 ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Celeron Quad-Core,Intel UHD,8GB,512GB,1.76 Kg,"Yes, 2 MP",,"Rs. 24,490"
46,HP 15a-na0012TU (743A1PA) ( 4GB ) Laptop,Google Chrome,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD,4GB,,1.69 Kg,Yes,,"Rs. 17,990"
47,HP 15a-na0008TU (72K10PA) ( 4GB ) Laptop,Google Chrome,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD,4GB,,1.69 Kg,Yes,,"Rs. 17,990"
48,HP 15s-eq1560AU (6Q0M8PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon,8GB,512GB,1.7 Kg,Yes,Yes,"Rs. 34,990"
49,MSI GF63 Thin 9SCXR-418IN (Intel Core i5 (9th Gen) 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (9th Gen),NVIDIA Geforce GTX 1650 Max-Q,8GB,512GB,1.86 Kg,Yes,No,"Rs. 57,999"
50,Asus FX506LI-HN271TS (Intel Core i5 (10th Gen) 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),NVIDIA GeForce GTX 1650 Ti,8GB,512GB,2.3 Kg,Yes,No,"Rs. 65,990"
51,Lenovo (81WB0193IN) (Intel Core i3 (10th Gen) 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,256GB,1.7 Kg,Yes,No,"Rs. 35,999"
52,Infinix Y1 Plus Neo XL30 ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Celeron Quad-Core,Intel UHD,8GB,256GB,1.76 Kg,"Yes, 2 MP",,"Rs. 23,990"
53,Asus X515EA-EJ502WS (Intel Core i5 (11th Gen) 8GB 1TB256GB SSD HDD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,1TB,1.80 Kg,Yes,No,"Rs. 50,990"
54,HP 15s-fq5007TU (67V50PA) (Intel Core i3 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UHD,8GB,512GB,1.69 Kg,Yes,No,"Rs. 41,490"
55,HP 15s-eq2144AU (50M63PA) (Ryzen 5 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,8GB,512GB,1.69 Kg,Yes,No,"Rs. 42,900"
56,Asus K15 OLED KM513UA-L713WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,AMD Radeon,16GB,512GB,1.80 Kg,Yes,Yes,"Rs. 63,990"
57,HP 14s-dy5005TU (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.41 Kg,Yes,,"Rs. 62,490"
58,Infinix INBook Y1 Plus XL28 (Intel Core i3 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,512GB,1.76 Kg,"Yes, 2 MP",No,"Rs. 28,490"
59,MSI B5M-242IN ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,8GB,512GB,1.3 Kg,Yes,,"Rs. 43,990"
60,Asus X515EA-EJ502TS (Intel Core i5 (11th Gen) 8GB 1TB256GB SSD HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,1TB,1.80 Kg,Yes,Yes,"Rs. 56,500"
61,HP 15s-ey1508AU (6Q0N0PA) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon,8GB,256GB,1.69 Kg,Yes,,"Rs. 29,990"
62,Lenovo 3 15ALC6 (82KU0238IN) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,16GB,512GB,1.65 Kg,Yes,No,"Rs. 49,490"
63,HP 15s-fr4001TU (7J3Z3PA) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,16GB,512GB,1.69 Kg,Yes,,"Rs. 52,990"
64,Lenovo 3 14ITL05 (81X700CWIN) (Intel Core i3 (11th Gen) 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,256GB,1.5 Kg,Yes,No,"Rs. 37,490"
65,HP x360 14-dh1178TU (231T0PA) (Intel Core i3 (10th Gen) 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i3 (10th Gen),Intel UHD,8GB,512GB,1.58 Kg,Yes,Yes,"Rs. 58,000"
66,Acer AN515-43-R2M9 (NH.Q5XSI.002) (Ryzen 5 8GB 1TB256GB SSD HDD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon RX 560X,8GB,1TB,2.3 Kg,Yes,No,"Rs. 54,990"
67,Asus X515JA-BR381T (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Core i3 (10th Gen),Intel UHD,4GB,1TB,1.80 Kg,Yes,Yes,"Rs. 27,990"
68,Lenovo 3 15IGL05 (81WQ00MQIN) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD Graphics,8GB,256GB,1.7 Kg,Yes,No,"Rs. 30,900"
69,HP 15s-fr4000TU (7J3Z2PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.69 Kg,Yes,No,"Rs. 54,490"
70,Honor MagicBook 15 (Ryzen 5 8GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon Vega 8,8GB,256GB,1.53 Kg,Yes,Yes,"Rs. 42,990"
71,Acer G3-572-55UB (NH.Q2CSI.001) (Intel Core i5 (7th Gen) 8GB 1TB128GB SSD HDD 8GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (7th Gen),NVIDIA Geforce GTX 1050Ti,8GB,1TB,2.7 Kg,Yes,No,"Rs. 99,990"
72,Asus X415MA-BV011W ( 4GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD,4GB,256GB,1.60 Kg,Yes,Yes,"Rs. 25,990"
73,HP 15s-ey1509AU (832R0PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,AMD Dual-Core Athlon,AMD Radeon,8GB,512GB,1.7 Kg,Yes,,"Rs. 31,990"
74,HP 15s-FR2006TU (34W78PA) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,512GB,1.75 Kg,Yes,Yes,"Rs. 40,300"
75,HP 15s-fq5111TU (6P129PA) (Intel Core i5 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,8GB,512GB,1.69 Kg,Yes,No,"Rs. 59,990"
76,Lenovo 310 (80SM01EFIH) (Intel Core i5 (6th Gen) 8GB 1TB HDD 2GB Graphics Windows 10) Laptop,Windows 10,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Core i5 (6th Gen),NVIDIA GeForce N16V-GMR1,8GB,1TB,2.2 Kg,Yes,No,"Rs. 49,490"
77,Dell 14 3480 (C552106UIN9) (Intel Core i5 (8th Gen) 8GB 1TB HDD 2GB Graphics ) Laptop,Linux,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Core i5 (8th Gen),AMD Radeon 520,8GB,1TB,1.79 Kg,Yes,No,"Rs. 44,990"
78,HP 14s-fq0568AU (6C4A9PA) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1366 x 768 pixels,No,AMD Dual-Core Athlon,AMD Radeon,8GB,256GB,1.41 Kg,Yes,,"Rs. 30,300"
79,Asus C523NA-A20303 (Intel Celeron Dual Core 4GB 64GB SSD ) Laptop,Google Chrome,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Celeron Dual-Core,Intel HD 500,4GB,64GB,1.69 Kg,Yes,No,"Rs. 18,990"
80,Acer SF314-42-R9YN (NX.HSEAA.003) (Ryzen 7 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,AMD Radeon,8GB,512GB,1.2 Kg,Yes,Yes,"Rs. 59,290"
81,Acer AN515-43-R2M9 (NH.Q5XSI.002) (Ryzen 5 8GB 1TB256GB SSD HDD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon RX 560X,8GB,1TB,2.3 Kg,Yes,No,"Rs. 54,990"
82,Asus X515JA-BR381T (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Core i3 (10th Gen),Intel UHD,4GB,1TB,1.80 Kg,Yes,Yes,"Rs. 27,990"
83,Lenovo 3 15IGL05 (81WQ00MQIN) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD Graphics,8GB,256GB,1.7 Kg,Yes,No,"Rs. 28,990"
84,HP 14-dv0054TU (2N1L0PA) (Intel Core i5 (11th Gen) 16GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,16GB,512GB,1.41 Kg,Yes,Yes,"Rs. 66,999"
85,HP 15s-fr4000TU (7J3Z2PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.69 Kg,Yes,No,"Rs. 54,490"
86,MSI Bravo 15 B5DD-043IN (Ryzen 5 8GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon RX5500M,8GB,512GB,2.35 Kg,Yes,No,"Rs. 59,750"
87,Honor MagicBook 15 (Ryzen 5 8GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon Vega 8,8GB,256GB,1.53 Kg,Yes,Yes,"Rs. 42,990"
88,Asus M515DA-BR322WS ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,AMD Dual-Core Ryzen 3,AMD Integrated,8GB,256GB,1.8 Kg,Yes,Yes,"Rs. 59,999"
89,Acer G3-572-55UB (NH.Q2CSI.001) (Intel Core i5 (7th Gen) 8GB 1TB128GB SSD HDD 8GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (7th Gen),NVIDIA Geforce GTX 1050Ti,8GB,1TB,2.7 Kg,Yes,No,"Rs. 99,990"
90,Asus X415MA-BV011W ( 4GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD,4GB,256GB,1.60 Kg,Yes,Yes,"Rs. 25,990"
91,HP 11-ak0010nr (16V14UA) (Intel Celeron Dual Core 4GB 32GB SSD Windows 10) Laptop,Windows 10 Home Basic,11.6 inch(29.46 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD 600,4GB,32GB,1.05 Kg,Yes,No,"Rs. 45,730"
